[24.4.2020 14:20:54]  CreateObject(19129, -143.79, -1430.35, 3.51, 0.00, 0.00, 296.33);
[24.4.2020 14:20:54]  CreateObject(19129, -146.22, -1413.52, 3.61, 0.00, 0.00, 296.33);
[24.4.2020 14:20:55]  CreateObject(19129, -146.91, -1398.23, 3.63, 0.00, 0.00, 296.33);
[24.4.2020 14:20:55]  CreateObject(19129, -147.67, -1385.06, 3.59, 0.00, 0.00, 296.33);
[24.4.2020 14:20:55]  CreateObject(19129, -148.70, -1372.98, 3.58, 0.00, 0.00, 296.33);
[24.4.2020 14:20:55]  CreateObject(19129, -149.16, -1359.35, 3.59, 0.00, 0.00, 296.33);
[24.4.2020 14:20:56]  CreateObject(19129, -148.97, -1348.80, 3.55, 0.00, 0.00, 296.33);
[24.4.2020 14:20:56]  CreateObject(19129, -148.09, -1332.65, 3.44, 0.00, 0.00, 296.33);
[24.4.2020 14:20:56]  CreateObject(19129, -147.32, -1319.63, 3.39, 0.00, 0.00, 296.33);
[24.4.2020 14:20:56]  CreateObject(19129, -145.90, -1306.00, 3.37, 0.00, 0.00, 296.33);
[24.4.2020 14:20:57]  CreateObject(19129, -144.36, -1292.12, 3.35, 0.00, 0.00, 296.33);
[24.4.2020 14:20:57]  CreateObject(19129, -142.97, -1280.15, 3.34, 0.00, 0.00, 296.33);
[24.4.2020 14:20:57]  CreateObject(19129, -140.79, -1263.73, 3.46, 0.00, 0.00, 296.33);
[24.4.2020 14:20:58]  CreateObject(19129, -138.17, -1249.52, 3.45, 0.00, 0.00, 296.33);
[24.4.2020 14:20:58]  CreateObject(19129, -136.61, -1241.30, 3.43, 0.00, 0.00, 296.33);
[24.4.2020 14:20:58]  CreateObject(19129, -133.19, -1223.44, 3.45, 0.00, 0.00, 296.33);
[24.4.2020 14:20:58]  CreateObject(19129, -131.35, -1214.20, 3.42, 0.00, 0.00, 296.33);
[24.4.2020 14:21:42]  CreateObject(19129, -251.00, -910.34, 43.51, 0.00, 0.00, 282.84);
[24.4.2020 14:21:47]  CreateObject(19129, -248.00, -907.14, 46.00, 0.00, 0.00, 282.84);
[24.4.2020 14:21:48]  CreateObject(19129, -245.07, -912.67, 45.58, 0.00, 0.00, 282.84);
[24.4.2020 14:21:48]  CreateObject(19129, -242.99, -914.55, 45.34, 0.00, 0.00, 282.84);
[24.4.2020 14:21:49]  CreateObject(19129, -240.55, -914.59, 45.11, 0.00, 0.00, 282.84);
[24.4.2020 14:21:49]  CreateObject(19129, -239.80, -914.73, 44.99, 0.00, 0.00, 282.84);
[24.4.2020 14:21:49]  CreateObject(19129, -238.65, -912.22, 44.67, 0.00, 0.00, 282.84);
